sector,NUser,NClick/万,CPC,Revenue/万,sector-name,subsector-names,words
5402,34286,973,127,124054,车辆,客车-货车-电车-挂车-牵引汽车-专用汽车-轿车-摩托车-电动车-三轮车-自行车-畜力车-二手车-汽车配件-汽车用品-汽修汽保-违章查询-汽车网站-车辆综合,二手车-二手车交易市场-风云-别克-电子狗-suv-汽车-汽车报价-路虎-奔驰
5403,149,0,168,17,火车,火车-火车综合,采样机-欧洲之星-欧铁通票-卸煤机-西安火车站-eurail pass-自动采样机-swiss pass-南京火车站-eurail
5404,1013,1,292,298,船舶,客船-货船-工程船-特种船-船舶综合,游艇码头-挖泥船-游艇价格-淘金船-绞吸式挖泥船-采沙船-采砂船-采金船-游艇报价-清淤机械
5405,69,0,127,79,飞机,商用客机-私人飞机-飞机综合,私人飞机-直升机-包机-公务机-私人飞机价格-小型私人飞机-六旋翼飞行器-私人飞机报价-包机价格-伯南克讲话
5501,7121,139,140,19352,成人用品,两性保健品-情趣内衣-调情用品-充气娃娃-测孕避孕用品-成人用品商城-成人用品综合,成人用品-充气娃娃-延时喷剂-万力可-情趣用品-壮阳-缩阴-美国强根-英国卫裤-补肾壮阳
5601,33321,325,135,44456,出版印刷,丝网印刷-印花印刷-水转印-磁卡印刷-条码标签印刷-印刷品印刷服务-光盘制作-音像制品-出版发行-图书-报刊杂志-投稿约稿-出版印刷综合,亚马逊网上书店-论文发表-当当网上书店-发表论文-印刷厂-银行卡-电子书-印刷-火影忍者-免费小说
5602,2535,6,304,2013,影视传媒,影视制作-录音配音-影视传媒综合,视频制作-影视后期制作-配音-影视制作-影视公司-录音棚-影视制作公司-配音网-微电影制作-建筑动画
5603,829,4,107,476,广播有线电视,广播电台传媒-广播电视传输服务-广播有线电视综合,天威宽带-华数宽带-企业宽带-深圳宽带-移动宽带-上海企业宽带-有线通-深圳天威宽带-上海宽带-杭州华数宽带
5701,9045,345,117,39875,电脑整机,服务器-台式机-笔记本电脑-平板电脑-功能终端-电脑整机综合,平板电脑-苹果官网-笔记本电脑-苹果5s-笔记本-笔记本电脑排名-苹果4s-苹果-平板电脑排行榜-苹果5
5702,9757,80,113,9088,电脑配件,机箱机柜-主板-CPU-显卡-内存-电源-光驱-声卡-网卡-输出设备-输入设备-散热设备-电脑零配件-移动存储-电脑配件综合,华为p6-华为商城-操作台-华为荣耀3c-机柜-图腾机柜-二维码扫描-三维扫描仪-移动硬盘-华为p7
5703,2376,37,94,3492,网络设备,交换机-路由器-网络存储设备-网络设备综合,网盘-云盘-荣耀3华为-无线路由器-路由器-kvm切换器-无线ap-交换机-cisco-华为交换机
5704,3626,22,237,5340,电脑服务,电脑维修-数据恢复-电脑清洗-电脑租赁-电脑服务综合,硬盘数据恢复-电脑维修-打印机维修-苹果维修-电脑租赁-笔记本维修-联想电脑-复印机维修-dell官方网站-系统重装
5801,26492,83,233,19588,电子元器件,磁性元件-机电元件-阻容元件-频率元件-开关元件-分立器件-光电器件-保险元器件-电声配件与器件-光电与显示器件-电感器-互感器-继电器-功率放大器-晶体管-电子管-电子五金件-电热元件-电子专用材料-电子材料-电子元器件综合,led显示屏-三星s5-液晶拼接-磁铁-led显示屏价格-led-电子白板-微盟-连接器-贴片机
5802,11869,21,292,6441,电机设备,变速电机-步进电机-伺服电机-直流电机-交流电机-特殊电机-电动机-发电机整形机-起动马达设备-换向机-插纸机-电机配件-电机保护产品-电机设备综合,变频器-abb变频器-变频器维修-振动电机-步进电机-气动马达-避雷针-电机维修-液压马达-abb电机
5803,12761,25,363,9455,电线电缆,电线电缆-电缆设备配件-光纤光缆-光纤缆设备配件-测试施工-电线电缆综合,电缆桥架-电线电缆-桥架-铝合金电缆-光纤熔接机-母线槽-电缆-电力电缆-电伴热带-电伴热
5804,14458,63,293,19039,供电设备,电源-电池-发电机-充电设备-电流电压设备-插头插座-供电设备综合,发电机-发电机组-太阳能发电-柴油发电机-柴油发电机组-发电机价格-ups电源-移动电源-变压器-稳压器
5805,11843,45,273,12525,照明设备,室内灯具-室外灯具-指示灯具-专用灯具-车灯-电光源-照明工程-光控设备-照明产品专用材料-照明设备元器件-照明电器附件-照明设备综合,太阳能路灯-路灯-led灯-灯饰-灯饰批发-led路灯-最无极-庭院灯-手电筒-灯饰品牌
5806,32837,109,372,41299,仪器仪表,工控仪表-压力仪表-记录仪器-传感器-电子衡器-光学仪器-测试分析仪器-拦截干扰仪器-车辆检测仪器-环保检测仪器-通讯检测仪器-生命科学仪器-医药专用仪器-石油专用仪器-煤炭专用仪器-橡塑专用仪器-植物生理生态仪器-农产品质检仪器-纺织专用仪器-包装专用仪器-仪器配件-仪器仪表综合,地磅-电子秤-触摸屏-臭氧发生器-压力传感器-流量计-光谱仪-显微镜-电子地磅-电磁流量计
5901,25577,98,212,21218,建筑工程,城市基建-公路建设-桥梁建设-铁路建设-隧道建设-矿山工程-发电工程-水利工程-水上工程-房建工程-保温工程-场馆建设-加固改造-防腐防潮-防水堵漏-景观绿化-膜结构活动房-建筑工程综合,活动房-活动板房-阳光房-车棚-帐篷-景观设计-建筑设计-加固公司-膜结构车棚-彩钢房
5902,18291,507,119,62044,房屋租售,写字楼买卖-别墅买卖-新房买卖-二手房买卖-地下室买卖-政策性购房-旅游房产买卖-海外房产买卖-墓地陵园-验房监理-房产评估-写字楼出租-别墅出租-寓所出租-地下室出租-租用转让-房产网-房屋租售综合,租房-二手房-租房网-北京二手房-上海租房-北京租房-58同城网-赶集网-搜房网-上海二手房
5903,1384,1,199,315,物业管理,物业管理-物业管理综合,物业管理-物业管理系统-广州后勤医院正规吗-物业公司-物业管理公司-广州后勤医院评价-物业保洁-沈阳物业公司-小区物业管理系统-苏州物业公司
5904,14817,162,308,51007,装修服务,家庭装修-别墅装修-商务装修-办公装修-装修设计-装修服务综合,装修-装修公司-装修网-装修效果图-装修设计-装修效果图大全2013图片-办公室装修-装饰公司-室内装修-别墅装修
5905,61026,267,319,87418,建筑装修材料,添加剂-胶粘剂-石灰石膏-水泥-混凝土-砂浆-吊顶-地板-瓷砖-玻璃-壁纸-软包材料-锁具-门窗-幕墙-隔断-卫浴-护栏-壁炉-建筑贴膜-砖瓦-楼梯-变形缝-隔音材料-保温材料-耐火材料-防水防腐材料-型材板材-管材管件-轨道材料-建筑装修材料综合,环氧地坪-黑暗之光-集成吊顶-防腐木-防火门-塑胶地板-壁纸-手机壁纸-玻璃钢化粪池-阳光板
6001,7047,398,107,42903,网上商城,网上商城-网上商城综合,淘宝网-淘宝商城-京东商城-京东-女神联盟-国美电器网上商城-亚马逊-苏宁易购-唯品会-家具网上商城
6002,600,18,116,2178,导购网站,导购网站-导购网站综合,返利网 淘宝-返利网-返利网首页-卷皮网-返利-返利邦-返利网哪个最好-返利网 淘-米折-淘粉吧返利网首页
6003,6215,431,96,42230,团购网站,团购网站-团购网站综合,团购-团购网-天猫-阿里巴巴-团购网站大全-快播-美团网-yamaxun-一号店-美团
6004,4927,53,72,3806,社交平台,社区论坛-社交平台综合,手机qq2013-qq音乐-qq空间-微博-微信官方版下载-装修论坛-lol官网-新浪微博注册-下载qq2013-新浪微博
6005,339,2,62,116,分类服务平台,分类服务平台-分类服务平台综合,qq-qq2012-网易宝-二手机械设备-中国机械设备网-网易新闻-惠惠网-123网址之家-新浪乐居-搜狐焦点
6006,1898,52,52,2641,生活服务网站,生活服务网站-生活服务网站综合,大众点评网-大众点评-大众点评网 上海-网上工作-学习网-简单学习网-点评-健康网-点评网-网上赚钱的工作
6007,3850,89,84,6734,休闲娱乐网站,娱乐休闲网站-休闲娱乐网站综合,12306-妖精的尾巴-优酷-360-视频-美女图片-乐视-优酷视频-lol-美女
6101,16487,443,115,51717,服装,女装-男装-童装-内衣-家居服-保暖装-休闲装-运动装-服装加工定做-服装租赁-服装配件-服装道具-服装网站-服装综合,服装批发-内衣品牌-女装批发-阿里巴巴批发-童装批发市场-工作服-af-童装批发-服装批发市场-内衣品牌排行榜
6102,5734,157,101,16127,鞋帽,鞋-袜-帽-手套-鞋帽综合,好乐买-乐峰官网-老北京布鞋-阿里巴巴批发网-new balance-鞋子-运动鞋-买鞋子哪个网站好-nike官网-鞋
6103,8607,25,162,4081,纺织原料,拉链纽扣-纱线缝纫线-织带-花边-纺织品原料-皮革原料-印染原料-纺织原料综合,无纺布-帆布-衣服被染色了怎么办-魔术贴-蚕丝被-数码印花-篷布-皮草外套新款-毛毡-羊毛毡
6201,7304,100,127,12796,箱包,旅行箱包-电脑公文包-休闲包-学生包-球包-工具包-箱包附件-生活用袋-箱包店-箱包综合,9.9包邮-无纺布袋-lv-手提袋-编织袋-环保袋-普拉达-拉杆箱-burberry 官网-名牌包包
6202,12185,268,136,36114,饰品,金银珠宝-眼镜-手表-小饰品-饰品综合,手表-手表品牌排行榜-钻戒-瑞士手表-火车时刻表-隐形眼镜-眼镜-名表-浪琴-浪琴手表
6301,9336,25,359,9459,涂料,木器涂料-建筑涂料-汽车涂料-轻工涂料-重工涂料-特种涂料-涂料辅料-涂料综合,硅藻泥-地坪漆-真石漆-防火涂料-环氧地坪漆-防水涂料-乳胶漆-氟碳漆-硅藻泥价格-硅藻泥品牌
6302,37432,104,268,28378,化工原料,无机化工原料-有机化工原料-医药中间体-消毒剂-食品添加剂-生物化学试剂-化学药剂助剂-化工纤维-染料-油品-普通化学品-毒害化学品-腐蚀化学品-爆炸化学品-燃烧、助燃化学品-磁性材料-陶瓷材料-土木合成材料-橡胶辅料-塑料助剂-润滑剂-冶炼助剂-化工原料综合,土工布-活性炭-排水板-润滑油-导热油-聚丙烯酰胺-土工格栅-玻璃棉-石英砂-玻璃钢
6303,11043,33,270,9108,橡胶,橡胶原料-合成橡胶-轮胎制品-工业用橡胶制品-医用橡胶制品-日用橡胶制品-橡胶综合,彩装膜-轮胎-玻璃贴膜-胶带-保护膜-轮胎品牌-橡胶止水带-密封条-轮胎排名-脚轮
6304,17947,28,264,7705,塑料,工程塑料-通用塑料-塑料制品-塑料综合,塑料托盘-土工膜-pp助手-珍珠棉-环氧树脂-ppr管-塑料模具-亚克力-塑料瓶-防渗膜
6305,7323,13,277,3692,能源,原煤-石油-天然气-电力能源-沥青-能源综合,自然美化脂酵素-生物醇油-醇基燃料-甲醇汽油-生物柴油-彩色沥青-北京燃气公司-柴油-自然美化脂酵素官网-润滑脂
6306,970,0,294,184,冶金,电镀用化工原料-电泳用化工原料-冶金用包芯线-冶金注料-冶金综合,粉末冶金-电泳漆-硅微粉-电泳-铝矾土-脱脂剂-电刷镀-包芯线-多晶莫来石纤维-莫来石
6307,16271,29,315,9445,包装材料,纸包装材料-塑料泡沫包装材料-玻璃包装材料-竹木包装材料-金属包装材料-防静电包装材料-绳带包装材料-包装辅助材料-包装材料综合,塑料袋-包装盒-纸箱-塑料桶-托盘-包装袋-木托盘-打包带-纸箱厂-包装箱
6401,29545,71,573,41588,通用机械设备,泵类-锅炉-内燃机-试验机-制冷设备-电热设备-粉碎设备-干燥设备-压缩分离设备-输送给料设备-变速设备-润滑设备-通用机械设备综合,激光切割机-空压机-冷却塔-破碎机-锅炉-烘干机-球磨机-燃气锅炉-真空泵-计量泵
6402,19627,47,383,18240,通用零配件,轴承-弹簧-阀类-紧固件-密封件-传动件-液气压元件-通用零配件综合,电磁阀-液压机-skf轴承-联轴器-nsk轴承-轴承-电动推杆-电动调节阀-直线导轨-阀门
6403,19915,58,433,25661,建筑工程机械,电梯设备-工程起重机械-破碎设备-钢筋混凝土机械-路面施工机械-制砖瓦机械-土方机械-桩工机械-桥梁机械-水利机械-隧道机械-消防机械-建筑工程机械综合,升降机-不锈钢水箱-微信公众平台-起重机-二手挖掘机-电动葫芦-传菜电梯-电梯-砖机-挖掘机
6404,7502,8,463,3814,勘探机械,油气勘探设备-矿产勘探设备-沙石机械-勘探仪器-勘探机械综合,磁选机-钻机-洗煤设备-洗砂机-洗沙机-水井钻机-煤泥烘干机-钻井机-抽沙船-潜孔钻机
6405,18605,27,523,14392,化工机械,加热传热设备-温控设备-传质设备-灭菌设备-反应设备-混合设备-过滤设备-分离设备-成型设备-化工粉碎设备-辅助设备-过滤材料-化工储运设备-石油加工设备-日化用品机械-化工机械综合,板式换热器-压滤机-反应釜-过滤器-散热器-滤油机-高低温试验箱-蒸发器-恒温恒湿试验箱-混合机
6406,8148,12,400,5212,木材石材加工机械,封边机械-覆面机械-砂光机械-涂装机械-制板机械-木工车床-木工刨床-木工铣床-木工钻床-木工开榫机-木工锯切设备-木材粉碎烘干设备-石材加工机械-木材石材加工机械综合,木炭机-木工雕刻机-涂装设备-喷涂设备-喷漆房-切割机-毛刷-接木机-喷涂机-石材雕刻机
6407,4704,7,298,2303,印刷机械,印前制版设备-印刷机械设备-印后加工设备-印刷机械综合,写真机-喷绘机-装订机-胶装机-丝印机-烫金机-刻字机-热转印机-绘图仪-复合机
6408,6558,8,308,2731,模具,模具机械-模具标准件-模具生产-模具协助加工-模具材料-模具综合,石膏线模具-罗马柱模具-热流道-模具-折弯机模具-注塑模具-路沿石模具-tpo模考软件-模具加工-机加工
6409,21638,111,286,32459,食品机械,食品清洗设备-食品粉碎设备-食品搅拌设备-生化与发酵设备-水处理设备-热交换设备-食品浓缩设备-食品干燥设备-食品分离设备-食品杀菌设备-食品净化设备-食品灌装设备-食品烘焙设备-食品包装设备-保鲜冷藏设备-食品储运设备-炊事设备-油炸设备-粮食加工设备-米面设备-方便食品设备-屠宰设备-肉类加工设备-果蔬设备-食用油加工设备-调味品设备-豆制品设备-乳品设备-酿酒设备-烟草设备-休闲食品设备-糖果设备-冷饮设备-食品机械综合,净水器-榨油机-净水器排名-冷库-包子机-小吃车-污水处理设备-厨房设备-冰淇淋机-凉皮机
6410,10293,40,270,11300,农林机械,农业机械-林业机械-畜牧养殖机械-渔业机械-副业机械-农林机械综合,金蟾捕鱼-千炮捕鱼-孵化机-李逵劈鱼-温室大棚-捕鱼器-捕鱼机-蔬菜大棚-1000炮捕鱼-塑料检查井
6411,3821,5,302,1648,纸制造加工设备,备料设备-纸浆设备-造纸设备-纸加工设备-造纸环保设备-造纸用仪表-纸浆泵-纸制造加工设备综合,模切机-切管机-分切机-压管机-无纺布制袋机-纸管机-纸箱机械-卫生纸加工设备-湿纸巾加工厂-复卷机
6412,5128,8,239,2157,制鞋纺织机械,纺织原料预处理设备-染整机械-织造设备-针织机械-化纤机械-无纺设备-纺织配件-制鞋机械-皮革加工机械-制鞋纺织机械综合,大棚骨架-绗缝机-大棚保温被-大棚建设-弹花机-电脑绗缝机-裁断机-冲孔机-数码印花机-缝纫机
6413,9361,24,360,9066,商业设备,货架展柜-商场设备-售货设备-金融设备-商业设备综合,pos机-自动售水机-超市货架-保险柜-展柜-展示柜-自动售货机-条码扫描器-广州货架-深圳货架
6414,9779,18,545,10119,包装机械,包装机-充填灌装机械-封口封箱机械-捆扎缠绕机械-贴标打码设备-包装热熔机械-包装辅助设备-包装机械综合,喷码机-激光打标机-打包机-真空包装机-包装机-贴标机-灌装机-打码机-打标机-封口机
6415,4231,10,230,2352,制药设备,原料药设备-药用粉碎机械-饮片机械-制剂机械-制药用水设备-药品包装机械-药物检测设备-制药辅助设备-制药设备综合,中药粉碎机-煎药机-替吉奥胶囊-一氧化氮胶囊-美国强根胶囊-七鞭回春乐胶囊-黄精赞育胶囊-盐酸氨基葡萄糖胶囊-复方玄驹胶囊-玛卡胶囊
6416,11742,16,479,8073,冶炼铸造设备,选矿设备-矿业输送设备-冶炼设备-铸造热处理设备-电镀设备-电泳设备-金属成型设备-冶炼铸造设备综合,弯管机-振动筛-除铁器-石灰窑-11选5-焚烧炉-煤气发生炉-马弗炉-电磁除铁器-精密铸造
6417,14995,35,377,13632,机床机械,普通机床-冲压机床-数控机床-螺纹加工机床-特种机床-刀磨机械-雕刻机-刀具夹具-机床附件-机床机械综合,雕刻机-剪板机-折弯机-激光雕刻机-卷板机-数控车床-冲床-等离子切割机-数控冲床-电磁吸盘
6418,25997,45,218,10182,五金工具,日用工具-通用五金件-建筑五金-水暖卫浴五金-农用匠作工具-电动气动工具-五金尼龙制品-磨具-磨料-量具-五金工具综合,液压扳手-电动滚筒-铸铁平台-胶体磨-磁力钻-滚筒-自动锁螺丝机-电动工具-不锈钢螺丝-刷机工具
6419,13688,20,547,11511,物流设备,仓储货架-仓库-立体自动仓库-集装设备-分拣设备-拣选系统-工位整理设施-工业搬运车辆-人力搬运车辆-立体停车场-升降台-物流容器-物流周边设备-物流设备综合,货架-叉车-升降平台-电动叉车-独轮车-液压升降平台-集装箱活动房-工作台-高空作业平台-集装箱
6420,27777,48,475,23435,清洁通风设备,清洗设备-高空作业设备-表面处理设备-工业除尘设备-工业洗衣设备-扫雪设备-空调设备-风机-风口-通风设备阀-通风设备配件-通风管道-防静电设备-清洁通风设备综合,中央空调-超声波清洗机-扫地机-洗地机-喷砂机-洗车设备-抛丸机-暖气片-扫地车-轴流风机
6421,2223,2,418,1244,焊接材料设备,焊接材料-焊接设备-焊接材料设备综合,点焊机-回流焊-超声波焊接机-焊接机-熔接机-热压机-电焊机-冷焊机-热熔机-铆接机
6422,9026,13,419,5464,玻璃橡塑设备,塑料机械-橡胶机械-玻璃陶瓷机械-玻璃橡塑设备综合,机械手-注塑机-颗粒机-吸塑机-吹瓶机-eps线条-吹膜机-塑料造粒机-送料机-木塑地板
6423,32486,74,388,29415,金属材料,不锈钢材-钢铁钢材-钢坯-金属板材-金属管材-型材-铁合金-有色金属合金-涂镀产品-钢架材料-铝类-铜类-贵金属材料-稀有金属-基本金属-废金属-金属筛网-金属材料综合,贵金属-钢结构-铝型材-不锈钢管-无缝钢管-脚手架-不锈钢板-304不锈钢板-旗杆-铝单板
6424,8679,11,458,5541,电子产品制造设备,电子元件成型设备-电子产品制造设备-铆接熔接设备-绕线剥线设备-线缆生产设备-点胶设备-邦定机-自动化及传动装置-电子产品制造设备综合,激光焊接机-点胶机-母线加工机-剥线机-焊接机器人-倒角机-拉丝机-钢管调直机-绕线机-自动焊锡机
6501,18030,143,245,35836,家具,家用床具-床垫-家用坐具-家用桌类-家用柜架-儿童家具-户外家具-特制柜具-办公文教业家具-桑拿美容业家具-餐饮娱乐业家具-酒店业家具-影楼家具-中式家具-外国风格家具-家具配件-家具生产销售店-家具出租-家具综合,办公家具-实木家具-橱柜-沙发-整体橱柜-衣柜-红木家具-整体衣柜-家具网-火锅桌
6502,6368,37,180,6808,家纺家饰,地毯-生活布艺-床上用品-窗帘百叶-钟表-居家饰品-家纺家饰综合,窗帘-地毯-家居饰品-布艺沙发-电动窗帘-创意家居-床上用品-北京家具-窗帘布艺-窗帘品牌
6503,4104,25,145,3853,厨具餐具,餐具厨具-刀具-杯壶与保温容器-厨房用纺织品-厨具餐具综合,世界杯竞猜-紫砂壶-纸杯-世界杯-保温杯-茶具-一品布衣汤烤锅王-一次性餐具-厨具-密胺餐具
6504,7748,54,167,8981,日化用品,清扫工具-盆桶-毛巾浴巾-口腔清洁-清洁日化-湿巾纸品-晾衣架-收纳用品-雨具阳伞-烟花爆竹-除虫用品-酒店用品-百货超市-日化用品综合,海娜花-海娜花染发剂怎么样-头发怎么长得快-遮阳伞-阿里批发-头发干枯毛躁怎么办-洗澡机-晾衣架-海娜花染发剂-太阳伞
6601,15571,153,161,25214,大型家电,冰箱-空调-电视-家庭影院-音响器材-洗衣机-大型家电综合,空调-电视剧-格力空调-大金空调-液晶电视-家用中央空调-4k电视-洗衣机-电视-空调移机
6602,5372,44,194,8778,厨用电器,烹饪电器-厨房卫生电器-厨用小家电-厨用电器综合,集成灶-洗碗机-油烟机-沁园净水器-开水器-抽油烟机-咖啡机-豆浆机-燃气灶-饮水机
6603,6669,43,243,10718,卫浴家电,热水器-卫浴小家电-取暖器-卫浴家电综合,空气能热水器-地暖-太阳能热水器-热水器-太阳能-地源热泵-剃须刀-电热水器-碳晶墙暖-空气能
6604,967,7,182,1447,健康电器,家用检测仪器-健康电器综合,血糖仪-血压计-电子血压计-血糖仪哪个牌子好-血压计什么牌子好-试纸多久能测出来-罗氏血糖仪-电子血压计什么牌子好-艾滋试纸-血糖仪什么牌子好
6605,1087,4,689,3113,生活小家电,生活小家电-生活小家电综合,除湿机-抽湿机-工业除湿机-除湿器-除湿机价格-家用除湿机-超声波加湿器-除湿机哪个牌子好-吸尘器什么牌子好-青岛除湿机
6701,5461,33,186,6310,学前教育,学前教育-学前教育综合,爱盟幼儿园-早教-早教中心-幼儿教育-幼儿早教-爱萌幼儿园-识字-爱盟幼儿园动画视频-爱盟幼儿园早教视频-爱盟早教幼儿园
6702,15835,120,287,35045,小初高教育,小初高辅导-高考辅导-艺考培训-小初高教育综合,学而思-家教-家教网-国际学校-新东方官网-一对一辅导-国际高中-西安补习学校-上海家教网-上海家教
6703,11483,220,291,64096,高教自考,成人自考-大专教育-本科教育-研究生教育-高教自考综合,在职研究生-成人高考-专升本-自考-自考本科-mba-在职研究生招生信息网-emba-成人教育-在职研究生报考条件
6704,8819,75,512,39357,留学,留学-留学综合,美国留学-留学-出国留学-英国留学-加拿大留学-留学中介-澳洲留学-澳大利亚留学-美国大学排名-出国留学的条件
6705,14811,171,317,55061,IT培训,办公软件培训-图形图像设计培训-网页设计培训-影视动漫培训-游戏开发培训-软件开发培训-网络技术培训-嵌入式培训-3G培训-手机开发培训-电脑维修培训-IT综合培训-IT认证考试培训-IT培训综合,北大青鸟-游戏-游戏大全-电脑-app开发-北京北大青鸟-打鱼游戏-ios培训-嵌入式培训-北大青鸟学费
6706,7736,133,466,63145,语言培训,英语培训-英语等级考试培训-出国英语培训-少儿英语-汉语培训-日韩语培训-小语种培训-语言培训综合,英语口语-英语学习网站-英语培训-英语学习-雅思-雅思培训-环球雅思-少儿英语-托福-日语学习
6707,41561,537,261,141059,职业培训,设计培训-服装设计培训-珠宝设计及鉴定培训-模具设计培训-外贸培训-金融培训-人力资源管理师培训-物流采购培训-心理咨询师培训-建筑工程类培训-旅游行业培训-速记与文秘培训-教师资格培训-公务员培训-司法考试培训-催眠培训-催乳师培训-医学培训-针灸按摩培训-DJ培训-餐饮培训-宠物培训-传媒培训-礼仪培训-婚礼主持培训-摄影培训-美容美发化妆培训-驾驶培训-可编程逻辑控制器培训-数控培训-电工培训-工程机械培训-汽车维修培训-家电数码维修培训-营销管理培训-银行培训-翻译培训-航空航海培训-消防类培训-物业管理培训-综合职业技术培训-职业培训综合,微信营销-一级建造师-二级建造师-化妆学校-人力资源管理师-会计从业资格考试-室内设计培训-小吃培训-汽修学校-室内设计
6708,8873,83,221,19204,文体培训,美术培训-音乐培训-舞蹈培训-茶艺培训-花艺培训-健身培训-体育培训-武术培训-棋牌培训-魔术培训-口才培训-潜能培训-文体培训综合,北京画室-竞彩足球-陈安之-武尊-瑜伽-军事夏令营-武术学校-足球竞彩-烤功夫-美术培训
6709,8644,31,336,10689,企业培训拓展,企业培训-拓展训练-企业培训拓展综合,拓展训练-pmp-清华总裁班-酒店管理-拓展培训-北大总裁班-清华大学总裁班-总裁班-企业管理培训-iso9000质量管理体系
6710,33,0,442,14,特殊人群教育,特殊人群教育-特殊人群教育综合,智障学校-北京智障学校-智障特殊教育学校-智障教育学校-湖南智障学校-湖南哪里有智障学校-哪里有智障学校-智障 学校-山东省智障学校-北京盲人按摩学校
6801,14482,36,423,15608,污染处理,环保厕所-垃圾处理-水污染处理-土壤污染处理-空气污染处理-噪音污染处理-消毒灭菌-环境评测-污染处理综合,空气净化器-垃圾处理器-垃圾桶-除甲醛-移动厕所-污水处理-甲醛检测-化粪池-加湿器-油烟净化器
6802,11693,45,293,13590,废旧回收,机械电子设备回收-化工废料回收-建筑废料回收-塑料橡胶回收-金属资源回收-纸品回收-纺织品与皮革回收-玩具回收-家具回收-电器回收-电脑数码回收-交通工具回收-贵金属珠宝回收-礼品回收-物资回收-拆除工程-废旧回收综合,电脑回收-黄金回收-废品回收-废铁回收-购物卡-废铜回收-空调回收-回收冬虫夏草-冬虫夏草回收-二手电脑回收
6803,3316,4,222,923,节能,水资源节能-电资源节能-石油天燃气资源节能-煤矿资源节能-余热余汽节能-节能解决方案服务-节能综合,节能灯-节电器-能源管理-合同能源管理-能源管理系统-电器商城-节能灶-节能改造-节能评估-冷凝水回收装置
6901,17227,217,234,51451,理财,股票-基金-外汇-期货-贵金属-综合理财-理财综合,现货白银-股票入门基础知识-外汇-白银投资-现货黄金-投资-黄金价格走势图-外汇交易-黄金价格-股票
6902,4739,268,252,68963,银行,银行卡产品-贷款服务-存款服务-理财产品-公积金提取-汇票交易-支票兑现-银行综合,贷款-信用卡申请-信用卡-小额贷款-理财-投资理财-个人贷款-理财产品-信用卡办理-分期付款
6903,4342,104,438,46853,保险,人身保险-财产保险-旅游保险-社会保险-商业医疗保险-保险补缴-车险-货运保险-海上保险-责任保险-信用保证保险-保险综合,车险-车险计算器-汽车保险-平安保险-车辆保险-车险哪家好-保险-太平洋保险-电话车险-交强险
6904,4249,31,282,9055,投资担保,股权融资-信用评级-信托-民间借贷-担保-投资担保综合,信托-信托产品-投资项目-担保公司-信托公司排名-小投资项目-投资公司-0投资网上赚钱-中融信托-红岭创投
